time,station,annual_rainfall
1850-01-01 00:00:00 +0000,National Average,1020.0
1851-01-01 00:00:00 +0000,National Average,1000.2
1852-01-01 00:00:00 +0000,National Average,1353.7
1853-01-01 00:00:00 +0000,National Average,1047.0
1854-01-01 00:00:00 +0000,National Average,905.2
1855-01-01 00:00:00 +0000,National Average,831.5
1856-01-01 00:00:00 +0000,National Average,950.2
1857-01-01 00:00:00 +0000,National Average,971.1
1858-01-01 00:00:00 +0000,National Average,985.1
1859-01-01 00:00:00 +0000,National Average,999.6
1860-01-01 00:00:00 +0000,National Average,1146.3
1861-01-01 00:00:00 +0000,National Average,1261.2
1862-01-01 00:00:00 +0000,National Average,1201.1
1863-01-01 00:00:00 +0000,National Average,1102.3
1864-01-01 00:00:00 +0000,National Average,916.1
1865-01-01 00:00:00 +0000,National Average,1145.9
1866-01-01 00:00:00 +0000,National Average,1105.2
1867-01-01 00:00:00 +0000,National Average,1020.4
1868-01-01 00:00:00 +0000,National Average,1154.6
1869-01-01 00:00:00 +0000,National Average,1079.9
1870-01-01 00:00:00 +0000,National Average,930.3
1871-01-01 00:00:00 +0000,National Average,1077.1
1872-01-01 00:00:00 +0000,National Average,1406.2
1873-01-01 00:00:00 +0000,National Average,1044.2
1874-01-01 00:00:00 +0000,National Average,1052.0
1875-01-01 00:00:00 +0000,National Average,1125.7
1876-01-01 00:00:00 +0000,National Average,1199.2
1877-01-01 00:00:00 +0000,National Average,1328.9
1878-01-01 00:00:00 +0000,National Average,1034.5
1879-01-01 00:00:00 +0000,National Average,1069.0
1880-01-01 00:00:00 +0000,National Average,1079.8
1881-01-01 00:00:00 +0000,National Average,1141.9
1882-01-01 00:00:00 +0000,National Average,1252.7
1883-01-01 00:00:00 +0000,National Average,1218.2
1884-01-01 00:00:00 +0000,National Average,1071.0
1885-01-01 00:00:00 +0000,National Average,1015.6
1886-01-01 00:00:00 +0000,National Average,1191.7
1887-01-01 00:00:00 +0000,National Average,797.6
1888-01-01 00:00:00 +0000,National Average,1067.1
1889-01-01 00:00:00 +0000,National Average,1013.6
1890-01-01 00:00:00 +0000,National Average,1048.2
1891-01-01 00:00:00 +0000,National Average,1042.0
1892-01-01 00:00:00 +0000,National Average,1054.2
1893-01-01 00:00:00 +0000,National Average,861.5
1894-01-01 00:00:00 +0000,National Average,1093.5
1895-01-01 00:00:00 +0000,National Average,1059.1
1896-01-01 00:00:00 +0000,National Average,1013.7
1897-01-01 00:00:00 +0000,National Average,1219.8
1898-01-01 00:00:00 +0000,National Average,1066.6
1899-01-01 00:00:00 +0000,National Average,1101.0
1900-01-01 00:00:00 +0000,National Average,1205.3
1901-01-01 00:00:00 +0000,National Average,1035.7
1902-01-01 00:00:00 +0000,National Average,993.6
1903-01-01 00:00:00 +0000,National Average,1342.3
1904-01-01 00:00:00 +0000,National Average,1054.1
1905-01-01 00:00:00 +0000,National Average,936.8
1906-01-01 00:00:00 +0000,National Average,973.9
1907-01-01 00:00:00 +0000,National Average,1052.0
1908-01-01 00:00:00 +0000,National Average,1037.1
1909-01-01 00:00:00 +0000,National Average,960.7
1910-01-01 00:00:00 +0000,National Average,1138.4
1911-01-01 00:00:00 +0000,National Average,1023.3
1912-01-01 00:00:00 +0000,National Average,1125.4
1913-01-01 00:00:00 +0000,National Average,1122.9
1914-01-01 00:00:00 +0000,National Average,1133.3
1915-01-01 00:00:00 +0000,National Average,1078.1
1916-01-01 00:00:00 +0000,National Average,1208.6
1917-01-01 00:00:00 +0000,National Average,1033.4
1918-01-01 00:00:00 +0000,National Average,1150.8
1919-01-01 00:00:00 +0000,National Average,925.5
1920-01-01 00:00:00 +0000,National Average,1175.1
1921-01-01 00:00:00 +0000,National Average,902.2
1922-01-01 00:00:00 +0000,National Average,971.4
1923-01-01 00:00:00 +0000,National Average,1168.5
1924-01-01 00:00:00 +0000,National Average,1306.3
1925-01-01 00:00:00 +0000,National Average,1027.9
1926-01-01 00:00:00 +0000,National Average,1040.7
1927-01-01 00:00:00 +0000,National Average,1150.9
1928-01-01 00:00:00 +0000,National Average,1343.7
1929-01-01 00:00:00 +0000,National Average,1140.5
1930-01-01 00:00:00 +0000,National Average,1244.8
1931-01-01 00:00:00 +0000,National Average,1180.7
1932-01-01 00:00:00 +0000,National Average,1025.8
1933-01-01 00:00:00 +0000,National Average,827.6
1934-01-01 00:00:00 +0000,National Average,1107.9
1935-01-01 00:00:00 +0000,National Average,1028.7
1936-01-01 00:00:00 +0000,National Average,1107.3
1937-01-01 00:00:00 +0000,National Average,1095.4
1938-01-01 00:00:00 +0000,National Average,1212.3
1939-01-01 00:00:00 +0000,National Average,1038.0
1940-01-01 00:00:00 +0000,National Average,1120.8
1941-01-01 00:00:00 +0000,National Average,955.5
1942-01-01 00:00:00 +0000,National Average,1046.9
1943-01-01 00:00:00 +0000,National Average,1066.9
1944-01-01 00:00:00 +0000,National Average,1068.1
1945-01-01 00:00:00 +0000,National Average,1028.6
1946-01-01 00:00:00 +0000,National Average,1213.4
1947-01-01 00:00:00 +0000,National Average,1245.6
1948-01-01 00:00:00 +0000,National Average,1222.7
1949-01-01 00:00:00 +0000,National Average,979.0
1950-01-01 00:00:00 +0000,National Average,1178.3
1951-01-01 00:00:00 +0000,National Average,1174.9
1952-01-01 00:00:00 +0000,National Average,928.6
1953-01-01 00:00:00 +0000,National Average,898.5
1954-01-01 00:00:00 +0000,National Average,1242.9
1955-01-01 00:00:00 +0000,National Average,975.5
1956-01-01 00:00:00 +0000,National Average,1067.2
1957-01-01 00:00:00 +0000,National Average,1101.0
1958-01-01 00:00:00 +0000,National Average,1280.1
1959-01-01 00:00:00 +0000,National Average,1028.1
1960-01-01 00:00:00 +0000,National Average,1337.9
1961-01-01 00:00:00 +0000,National Average,1074.2
1962-01-01 00:00:00 +0000,National Average,1023.4
1963-01-01 00:00:00 +0000,National Average,1043.4
1964-01-01 00:00:00 +0000,National Average,1060.0
1965-01-01 00:00:00 +0000,National Average,1190.1
1966-01-01 00:00:00 +0000,National Average,1235.8
1967-01-01 00:00:00 +0000,National Average,1103.6
1968-01-01 00:00:00 +0000,National Average,1114.8
1969-01-01 00:00:00 +0000,National Average,942.8
1970-01-01 00:00:00 +0000,National Average,1052.1
1971-01-01 00:00:00 +0000,National Average,846.1
1972-01-01 00:00:00 +0000,National Average,1062.2
1973-01-01 00:00:00 +0000,National Average,990.5
1974-01-01 00:00:00 +0000,National Average,1145.3
1975-01-01 00:00:00 +0000,National Average,880.6
1976-01-01 00:00:00 +0000,National Average,1014.6
1977-01-01 00:00:00 +0000,National Average,1169.9
1978-01-01 00:00:00 +0000,National Average,1099.6
1979-01-01 00:00:00 +0000,National Average,1163.2
1980-01-01 00:00:00 +0000,National Average,1200.3
1981-01-01 00:00:00 +0000,National Average,1154.7
1982-01-01 00:00:00 +0000,National Average,1257.4
1983-01-01 00:00:00 +0000,National Average,1081.9
1984-01-01 00:00:00 +0000,National Average,1071.9
1985-01-01 00:00:00 +0000,National Average,1158.7
1986-01-01 00:00:00 +0000,National Average,1236.8
1987-01-01 00:00:00 +0000,National Average,1019.8
1988-01-01 00:00:00 +0000,National Average,1179.7
1989-01-01 00:00:00 +0000,National Average,1022.9
1990-01-01 00:00:00 +0000,National Average,1109.4
1991-01-01 00:00:00 +0000,National Average,1027.7
1992-01-01 00:00:00 +0000,National Average,1071.8
1993-01-01 00:00:00 +0000,National Average,1169.3
1994-01-01 00:00:00 +0000,National Average,1243.4
1995-01-01 00:00:00 +0000,National Average,1111.2
1996-01-01 00:00:00 +0000,National Average,1131.5
1997-01-01 00:00:00 +0000,National Average,1128.3
1998-01-01 00:00:00 +0000,National Average,1272.0
1999-01-01 00:00:00 +0000,National Average,1164.2
2000-01-01 00:00:00 +0000,National Average,1200.8
2001-01-01 00:00:00 +0000,National Average,931.2
2002-01-01 00:00:00 +0000,National Average,1392.7
2003-01-01 00:00:00 +0000,National Average,943.1
2004-01-01 00:00:00 +0000,National Average,1061.9
2005-01-01 00:00:00 +0000,National Average,1057.1
2006-01-01 00:00:00 +0000,National Average,1180.8
2007-01-01 00:00:00 +0000,National Average,1066.6
2008-01-01 00:00:00 +0000,National Average,1253.4
2009-01-01 00:00:00 +0000,National Average,1386.1
2010-01-01 00:00:00 +0000,National Average,984.2
